label,language,file_category,length_bucket,count
0,Java,config,long,2
0,Java,config,medium,1
0,Java,config,short,1
0,Java,config,very_short,153
0,Java,docs,long,57
0,Java,docs,medium,23
0,Java,docs,short,86
0,Java,docs,very_short,418
0,Java,source,long,2
0,Java,source,medium,24
0,Java,source,short,859
0,Java,source,very_short,7165
0,Java,test,long,13
0,Java,test,medium,3
0,Java,test,short,1
0,Java,test,very_short,1338
0,Python,config,long,17
0,Python,config,medium,5
0,Python,config,short,9
0,Python,config,very_short,89
0,Python,docs,long,1
0,Python,docs,medium,1
0,Python,docs,short,2
0,Python,docs,very_short,21
0,Python,source,long,27
0,Python,source,medium,41
0,Python,source,short,98
0,Python,source,very_short,1062
0,Python,test,long,16
0,Python,test,medium,4
0,Python,test,short,16
0,Python,test,very_short,246
1,Java,config,long,193
1,Java,config,medium,390
1,Java,config,short,2008
1,Java,config,very_short,10970
1,Java,docs,long,131
1,Java,docs,medium,203
1,Java,docs,short,609
1,Java,docs,very_short,6836
1,Java,source,long,1312
1,Java,source,medium,4005
1,Java,source,short,6457
1,Java,source,very_short,40296
1,Java,test,long,540
1,Java,test,medium,504
1,Java,test,short,905
1,Java,test,very_short,5218
1,Python,config,long,537
1,Python,config,medium,739
1,Python,config,short,1280
1,Python,config,very_short,13779
1,Python,docs,long,1228
1,Python,docs,medium,1100
1,Python,docs,short,2586
1,Python,docs,very_short,21147
1,Python,source,long,3622
1,Python,source,medium,4938
1,Python,source,short,13640
1,Python,source,very_short,85429
1,Python,test,long,1614
1,Python,test,medium,1526
1,Python,test,short,2565
1,Python,test,very_short,17229
