calendar_month,commits,commits_with_allowed_hunks,ai_like_commits,mean_ai_line_fraction,mean_max_hunk_score,repo,threshold_label,commit_ai_fraction
2021-01,20,5,5,0.2445754716981132,0.1922545660039127,airflow,medium,0.25
2021-02,20,9,8,0.3777483327483327,0.3693944510456032,airflow,medium,0.4
2021-03,20,7,7,0.3347249007373795,0.3087275294667783,airflow,medium,0.35
2021-04,20,8,8,0.36875,0.3014132221116113,airflow,medium,0.4
2021-05,20,11,11,0.5410256410256411,0.4640849548817365,airflow,medium,0.55
2021-06,20,5,3,0.1476331360946745,0.1642113225566422,airflow,medium,0.15
2021-07,20,9,9,0.42,0.3655495035809637,airflow,medium,0.45
2021-08,20,11,11,0.490629261701612,0.4220070381828175,airflow,medium,0.55
2021-09,20,6,6,0.2837209302325581,0.2589095478125731,airflow,medium,0.3
2021-10,20,5,5,0.1882857142857142,0.1682972189606683,airflow,medium,0.25
2021-11,20,6,6,0.3,0.2299656660313831,airflow,medium,0.3
2021-12,20,8,8,0.3886205782587627,0.3015842262333671,airflow,medium,0.4
2022-01,20,9,8,0.3602789012470509,0.3437393399128681,airflow,medium,0.4
2022-02,20,5,5,0.25,0.1915949550442365,airflow,medium,0.25
2022-03,20,7,7,0.3232142857142857,0.2941233144386477,airflow,medium,0.35
2022-04,20,8,8,0.3044067796610169,0.260318122994163,airflow,medium,0.4
2022-05,20,9,9,0.4221119054884694,0.3726665803132209,airflow,medium,0.45
2022-06,20,8,7,0.35,0.2960049309369051,airflow,medium,0.35
2022-07,20,10,10,0.4925211010934203,0.3927184241148357,airflow,medium,0.5
2022-08,20,9,9,0.4331948161712917,0.352461448484732,airflow,medium,0.45
2022-09,20,13,13,0.6412043111527648,0.5243395425648261,airflow,medium,0.65
2022-10,20,7,7,0.2625333727795365,0.2820358652421717,airflow,medium,0.35
2022-11,20,10,10,0.4555341403121972,0.4211564749149069,airflow,medium,0.5
2022-12,20,9,9,0.4353511530398323,0.3981511157729148,airflow,medium,0.45
2023-01,20,11,11,0.5217926586703634,0.4585517377150293,airflow,medium,0.55
2023-02,20,9,9,0.4439999999999999,0.4019870835909133,airflow,medium,0.45
2023-03,20,10,10,0.4408333333333333,0.4414148956992981,airflow,medium,0.5
2023-04,20,11,9,0.4296610486454769,0.4067968584266808,airflow,medium,0.45
2023-05,20,8,8,0.397375,0.3447612783396218,airflow,medium,0.4
2023-06,20,7,6,0.2669931317307371,0.2684311614746962,airflow,medium,0.3
2023-07,20,12,11,0.5394720687538367,0.4986671137750247,airflow,medium,0.55
2023-08,20,12,9,0.4419354838709677,0.4479960409985713,airflow,medium,0.45
2023-09,20,11,10,0.4355134392091486,0.4065603604872055,airflow,medium,0.5
2023-10,20,9,9,0.4011737791497657,0.3762649216016448,airflow,medium,0.45
2023-11,20,7,7,0.33125,0.3086307657136743,airflow,medium,0.35
2023-12,20,5,4,0.2,0.1891291059074842,airflow,medium,0.2
2024-01,20,11,11,0.5397612344906684,0.4821828559405502,airflow,medium,0.55
2024-02,20,9,9,0.4315850815850816,0.3298766310170652,airflow,medium,0.45
2024-03,20,5,4,0.2,0.1797831941145619,airflow,medium,0.2
2024-04,20,9,9,0.4295,0.3635123716205831,airflow,medium,0.45
2024-05,20,10,9,0.4068349358974359,0.3839933613140464,airflow,medium,0.45
2024-06,20,9,9,0.4049528811759288,0.3805008586402267,airflow,medium,0.45
2024-07,20,11,11,0.5324007931297109,0.4706458120687925,airflow,medium,0.55
2024-08,20,10,9,0.4151727272727273,0.3885007410335893,airflow,medium,0.45
2024-09,20,11,11,0.5112116443745083,0.4815053229966889,airflow,medium,0.55
2024-10,20,8,7,0.3499022673964034,0.32104968067483,airflow,medium,0.35
2024-11,20,9,9,0.4216352201257861,0.347794263173123,airflow,medium,0.45
2024-12,20,5,5,0.25,0.2215679227564222,airflow,medium,0.25
2025-01,20,8,8,0.3755523122710623,0.3235730771094731,airflow,medium,0.4
2025-02,20,8,8,0.375,0.3054514268209105,airflow,medium,0.4
2025-03,20,5,5,0.2416666666666666,0.2128641195318071,airflow,medium,0.25
