calendar_month,commits,commits_with_allowed_hunks,ai_like_commits,mean_ai_line_fraction,mean_max_hunk_score,repo,threshold_label,commit_ai_fraction
2021-01,60,26,26,0.4323596792668958,0.3658271301166677,elasticsearch,low,0.43333333333333335
2021-02,60,30,29,0.4789568083324229,0.4443233053477635,elasticsearch,low,0.48333333333333334
2021-03,60,19,18,0.28809523809523807,0.2573804165790295,elasticsearch,low,0.3
2021-04,60,32,31,0.5031663413576231,0.4371580134081251,elasticsearch,low,0.5166666666666667
2021-05,60,24,23,0.3822796934865901,0.33974075031928685,elasticsearch,low,0.38333333333333336
2021-06,60,26,26,0.43333333333333335,0.38722633278821056,elasticsearch,low,0.43333333333333335
2021-07,60,27,26,0.415973048941799,0.35985724843177663,elasticsearch,low,0.43333333333333335
2021-08,60,27,27,0.4214694013886396,0.3992030940486187,elasticsearch,low,0.45
2021-09,60,35,35,0.5472269679325243,0.488745625100336,elasticsearch,low,0.5833333333333334
2021-10,60,29,29,0.4774604061474641,0.4133124525622512,elasticsearch,low,0.48333333333333334
2021-11,60,23,22,0.34676017228864514,0.3247453673018435,elasticsearch,low,0.36666666666666664
2021-12,60,25,25,0.4004434250764526,0.3558836335295231,elasticsearch,low,0.4166666666666667
2022-01,60,31,31,0.4973500114960418,0.426971536515321,elasticsearch,low,0.5166666666666667
2022-02,60,26,26,0.41616728011655546,0.37455004195577085,elasticsearch,low,0.43333333333333335
2022-03,60,31,30,0.4883547630600032,0.44613878563781767,elasticsearch,low,0.5
2022-04,60,26,26,0.41273287523386804,0.38702519339218117,elasticsearch,low,0.43333333333333335
2022-05,60,32,31,0.4936702464422729,0.4385517934826834,elasticsearch,low,0.5166666666666667
2022-06,60,30,29,0.4708347726049339,0.40526131194143716,elasticsearch,low,0.48333333333333334
2022-07,60,35,35,0.5615924134968808,0.5168345981899835,elasticsearch,low,0.5833333333333334
2022-08,60,28,27,0.44624100314889786,0.37167525587530326,elasticsearch,low,0.45
2022-09,60,32,29,0.46527818740097937,0.42698644921529466,elasticsearch,low,0.48333333333333334
2022-10,60,33,33,0.546191114335627,0.47769025683895294,elasticsearch,low,0.55
2022-11,60,34,33,0.5484081284028502,0.4916015834623955,elasticsearch,low,0.55
2022-12,60,35,34,0.5567907259813482,0.4984692627761817,elasticsearch,low,0.5666666666666667
2023-01,60,36,36,0.5719640813002216,0.5198518208773506,elasticsearch,low,0.6
2023-02,60,35,35,0.5276664271687689,0.5036367561114562,elasticsearch,low,0.5833333333333334
2023-03,60,29,29,0.47455792963713395,0.41943022270637936,elasticsearch,low,0.48333333333333334
2023-04,60,26,25,0.4040010155495622,0.365706478218376,elasticsearch,low,0.4166666666666667
2023-05,60,38,38,0.6220015557226233,0.5470655298808836,elasticsearch,low,0.6333333333333333
2023-06,60,35,35,0.566959571178104,0.4647680415025166,elasticsearch,low,0.5833333333333334
2023-07,60,30,30,0.47922154734539296,0.44617790753471004,elasticsearch,low,0.5
2023-08,60,29,28,0.4469047647636593,0.4070331990915313,elasticsearch,low,0.4666666666666667
2023-09,60,30,30,0.48126865774793426,0.43084656222780365,elasticsearch,low,0.5
2023-10,60,20,20,0.32632508797906395,0.2822204878720212,elasticsearch,low,0.3333333333333333
2023-11,60,34,34,0.5507358746721392,0.4794993269945286,elasticsearch,low,0.5666666666666667
2023-12,60,32,32,0.5181966116858022,0.4670684959611566,elasticsearch,low,0.5333333333333333
2024-01,60,33,32,0.5261132750192986,0.46234549187457824,elasticsearch,low,0.5333333333333333
2024-02,60,32,30,0.48937638493194047,0.4358314078410043,elasticsearch,low,0.5
2024-03,60,22,20,0.3194766751703984,0.2944961472470426,elasticsearch,low,0.3333333333333333
2024-04,60,31,29,0.45460193673051386,0.4031822654954426,elasticsearch,low,0.48333333333333334
2024-05,60,24,24,0.39662060613770334,0.3358276365502426,elasticsearch,low,0.4
2024-06,60,24,21,0.3333021902424513,0.2973767930128245,elasticsearch,low,0.35
2024-07,60,25,25,0.39441895336632177,0.340064279216468,elasticsearch,low,0.4166666666666667
2024-08,60,27,27,0.42624848452533315,0.3841143133957748,elasticsearch,low,0.45
2024-09,60,26,26,0.42447368421052634,0.3805694879037267,elasticsearch,low,0.43333333333333335
2024-10,60,24,24,0.3939056703762586,0.3499773905622222,elasticsearch,low,0.4
2024-11,60,29,28,0.45927545026177247,0.41215487428286796,elasticsearch,low,0.4666666666666667
2024-12,60,30,29,0.4714465412433485,0.42149485897809685,elasticsearch,low,0.48333333333333334
2025-01,60,27,27,0.448477505131908,0.39168990404000337,elasticsearch,low,0.45
2025-02,60,24,24,0.4,0.32133895653955447,elasticsearch,low,0.4
2025-03,60,23,23,0.3572145553415946,0.34077260009848515,elasticsearch,low,0.38333333333333336
2025-04,60,32,32,0.5203133587027816,0.45369153762827685,elasticsearch,low,0.5333333333333333
2025-05,60,28,28,0.4555592332225977,0.3909655608256281,elasticsearch,low,0.4666666666666667
2025-06,60,25,25,0.3744441439921889,0.3530734108612727,elasticsearch,low,0.4166666666666667
2025-07,60,29,29,0.4669205550784498,0.3980277451250918,elasticsearch,low,0.48333333333333334
2025-08,60,27,26,0.41292294047612993,0.364102530350097,elasticsearch,low,0.43333333333333335
