support,language,file_category,length_bucket,threshold,accuracy,balanced_accuracy,precision,recall,false_positive_rate,false_negative_rate,tp,tn,fp,fn
25,Java,config,long,0.44999999999999996,0.96,0.5,0.96,1.0,1.0,0.0,24,0,1,0
34,Java,config,very_short,0.44999999999999996,0.8823529411764706,0.8901098901098901,0.9473684210526315,0.8571428571428571,0.07692307692307693,0.14285714285714285,18,12,1,3
34,Java,docs,long,0.44999999999999996,1.0,1.0,1.0,1.0,0.0,0.0,20,14,0,0
36,Java,docs,short,0.44999999999999996,0.9166666666666666,0.91875,0.8823529411764706,0.9375,0.1,0.0625,15,18,2,1
35,Java,docs,very_short,0.44999999999999996,0.9428571428571428,0.9523809523809523,1.0,0.9047619047619048,0.0,0.09523809523809523,19,14,0,2
48,Java,source,short,0.44999999999999996,0.8333333333333334,0.8347826086956522,0.8695652173913043,0.8,0.13043478260869565,0.2,20,20,3,5
32,Java,source,very_short,0.44999999999999996,0.875,0.875,0.9285714285714286,0.8125,0.0625,0.1875,13,15,1,3
36,Java,test,very_short,0.44999999999999996,0.9444444444444444,0.9230769230769231,1.0,0.8461538461538461,0.0,0.15384615384615385,11,23,0,2
22,Python,config,long,0.44999999999999996,0.9090909090909091,0.6666666666666666,0.9047619047619048,1.0,0.6666666666666666,0.0,19,1,2,0
35,Python,config,very_short,0.44999999999999996,0.8,0.8006535947712419,0.7777777777777778,0.8235294117647058,0.2222222222222222,0.17647058823529413,14,14,4,3
22,Python,source,long,0.44999999999999996,0.8636363636363636,0.7807017543859649,0.9444444444444444,0.8947368421052632,0.3333333333333333,0.10526315789473684,17,2,1,2
26,Python,source,medium,0.44999999999999996,0.6923076923076923,0.65625,0.7222222222222222,0.8125,0.5,0.1875,13,5,5,3
37,Python,source,short,0.44999999999999996,0.4594594594594595,0.45321637426900585,0.48148148148148145,0.6842105263157895,0.7777777777777778,0.3157894736842105,13,4,14,6
45,Python,source,very_short,0.44999999999999996,0.7333333333333333,0.71,0.8333333333333334,0.5,0.08,0.5,10,23,2,10
24,Python,test,long,0.44999999999999996,1.0,1.0,1.0,1.0,0.0,0.0,20,4,0,0
21,Python,test,medium,0.44999999999999996,0.8571428571428571,0.47368421052631576,0.9,0.9473684210526315,1.0,0.05263157894736842,18,0,2,1
27,Python,test,short,0.44999999999999996,0.7777777777777778,0.5597826086956521,0.8695652173913043,0.8695652173913043,0.75,0.13043478260869565,20,1,3,3
34,Python,test,very_short,0.44999999999999996,0.6764705882352942,0.6764705882352942,0.7142857142857143,0.5882352941176471,0.23529411764705882,0.4117647058823529,10,13,4,7
